Paraphraser,Paraphraser_Key,Tier,BLEU,BLEU_std,ROUGE-L,ROUGE-L_std,BERTScore,BERTScore_std,n_samples
ChatGPT,chatgpt,T1,0.195335546164931,0.12412268547642294,0.5024959033634834,0.13541386057792237,0.9224964358895139,0.028365512353321333,1562
ChatGPT,chatgpt,T2,0.17173218145260288,0.11958930461537219,0.4640956109886957,0.14043995061755776,0.9145494402725513,0.029921413204833963,2111
ChatGPT,chatgpt,T3,0.14277550706278624,0.11110268138228613,0.42566705475932654,0.13740618911928704,0.9071377830130621,0.02982867230343497,1845
PaLM2,palm,T1,0.47006155504475483,0.23432074067918088,0.6978229332633644,0.1839948708260949,0.9525164000865981,0.03021342493546443,508
PaLM2,palm,T2,0.38250246063792365,0.22423125173107397,0.6252719901352518,0.19501030556753907,0.9429965218294014,0.03175238303247639,515
PaLM2,palm,T3,0.3374525584476012,0.21266733876983782,0.5841419278813695,0.1954946250841045,0.9374687714401142,0.032860191181443975,516
Dipper,dipper,T1,0.16830099503709237,0.09317890168899422,0.3772609195698712,0.09574220604239161,0.9044554559693384,0.021391798987544505,3010
Dipper,dipper,T2,0.09245848521819988,0.06645788447780002,0.3169662445669863,0.0923599920195876,0.8882692304312014,0.022423715041657126,3009
Dipper,dipper,T3,0.061286655699510154,0.05077369411778503,0.2570008813511577,0.07288840664499611,0.8769792187408024,0.021539385620013802,3009
Dipper (Low),dipper(low),T1,0.49231570659629187,0.15318307855638236,0.7157017727212722,0.11398291426197942,0.9529851399950421,0.020356107668682,3014
Dipper (Low),dipper(low),T2,0.36943498621786397,0.14558659781990047,0.6277155787426993,0.12662612144293575,0.9399550769134476,0.022906271337800495,3014
Dipper (Low),dipper(low),T3,0.30364751372109283,0.13800630980409243,0.5645784941405443,0.12673691663808181,0.9317399123030935,0.023762963984277373,3011
Dipper (High),dipper(high),T1,0.009700780978518479,0.020640693619659072,0.13009275124896144,0.056169843456544806,0.8058575091154679,0.019823774294269434,2990
Dipper (High),dipper(high),T2,0.00413217929762746,0.0070907920138002295,0.10683295075022341,0.03996568669081131,0.8035786855512538,0.016631305078173193,2942
Dipper (High),dipper(high),T3,0.0023946390398107732,0.003354432586187359,0.09116199558902144,0.03710107460587134,0.8033444908945864,0.01623801056532466,2882
Pegasus (Full),pegasus(full),T1,0.41462919816595206,0.12054798665405504,0.6733647146458075,0.09692137964149873,0.9306874134262627,0.03009857514712533,3011
Pegasus (Full),pegasus(full),T2,0.29733640283647367,0.13147456698828644,0.5878013321064398,0.11192337025064306,0.9139371111543472,0.03369892054263453,3010
Pegasus (Full),pegasus(full),T3,0.25165374568339804,0.13422649107377316,0.5403996431587691,0.12130183004272585,0.9061760188060555,0.03573639471214934,3008
Pegasus (Slight),pegasus(slight),T1,0.8412854279757047,0.11022118317792619,0.918721485173915,0.07016112396921821,0.9802981953576672,0.017489847811856637,3018
Pegasus (Slight),pegasus(slight),T2,0.7283406359479909,0.14285464826011618,0.8570642517719878,0.09173158096410705,0.9668609340695857,0.023223515544406784,3017
Pegasus (Slight),pegasus(slight),T3,0.6380813017731082,0.16066582409908708,0.8042656921908876,0.10759648651508834,0.9558328085479888,0.027040447983757047,3017
