dataset,source,key,cosine_chatgpt,cosine_dipper_low,cosine_dipper_high,jaccard_chatgpt,recall_chatgpt,precision_chatgpt,jaccard_dipper_low,recall_dipper_low,precision_dipper_low,jaccard_dipper_high,recall_dipper_high,precision_dipper_high,jaccard_pegasus_slight,recall_pegasus_slight,precision_pegasus_slight,jaccard_pegasus_full,recall_pegasus_full,precision_pegasus_full,source_group
cmv,BigScience,cmv-1079,0.9963947573389343,0.9817331615710841,0.906299228715191,0.625,0.7692307692307693,0.7692307692307693,0.32,0.41025641025641024,0.5925925925925926,0.016666666666666666,0.02564102564102564,0.045454545454545456,0.925,0.9487179487179487,0.9736842105263158,0.4318181818181818,0.48717948717948717,0.7916666666666666,LLM
cmv,BigScience,cmv-1409,0.9728883869888033,0.9908683981047524,0.9483921824622048,0.5714285714285714,0.7272727272727273,0.7272727272727273,0.3125,0.45454545454545453,0.5,0.0,0.0,0.0,0.9090909090909091,0.9090909090909091,1.0,0.9090909090909091,0.9090909090909091,1.0,LLM
cmv,BigScience,cmv-1517,0.9644401941674019,0.9866716769294073,0.9263396760910919,0.0,0.0,0.0,0.3333333333333333,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,LLM
cmv,BigScience,cmv-1607,0.984680065353999,0.9940398223130549,0.9284879484518618,0.625,0.7142857142857143,0.8333333333333334,0.75,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,1.0,1.0,1.0,0.7142857142857143,0.7142857142857143,1.0,LLM
cmv,BigScience,cmv-2071,0.9864318113037341,0.9847380934716395,0.8468547024053058,0.65625,0.7777777777777778,0.8076923076923077,0.5428571428571428,0.7037037037037037,0.7037037037037037,0.0,0.0,0.0,0.9629629629629629,0.9629629629629629,1.0,0.75,0.7777777777777778,0.9545454545454546,LLM
cmv,BigScience,cmv-258,0.9896506742425422,0.9818059073731706,0.8739121856789214,0.6666666666666666,0.75,0.8571428571428571,0.6,0.75,0.75,0.05263157894736842,0.08333333333333333,0.125,0.88,0.9166666666666666,0.9565217391304348,0.5555555555555556,0.625,0.8333333333333334,LLM
cmv,BigScience,cmv-259,0.8851001765022714,0.9876302918803611,0.8288453370864666,0.4,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.6666666666666666,LLM
cmv,BigScience,cmv-260,0.9682734562254133,0.9788173683015101,0.8492370505931307,0.4,0.4,1.0,0.8,0.8,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.8,0.8,1.0,LLM
cmv,BigScience,cmv-261,0.9311052697395491,0.953184586097701,0.856102683378047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.25,0.3333333333333333,0.14285714285714285,0.25,0.25,LLM
cmv,BigScience,cmv-262,0.981843075515513,0.9936485184510887,0.9519028136589263,0.65,0.6842105263157895,0.9285714285714286,0.75,0.7894736842105263,0.9375,0.0,0.0,0.0,0.8947368421052632,0.8947368421052632,1.0,0.45,0.47368421052631576,0.9,LLM
cmv,BigScience,cmv-263,0.9666402315802234,0.9932667472945882,0.9159557333350856,0.3888888888888889,0.5384615384615384,0.5833333333333334,0.7333333333333333,0.8461538461538461,0.8461538461538461,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5384615384615384,0.875,LLM
cmv,BigScience,cmv-264,0.9918731874425529,0.9964661870098342,0.9632492989231208,0.5384615384615384,0.5833333333333334,0.875,0.42857142857142855,0.5,0.75,0.0,0.0,0.0,0.9166666666666666,0.9166666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,LLM
cmv,BigScience,cmv-265,0.9890181591106211,0.993125688201537,0.9702018227536615,0.4,0.5714285714285714,0.5714285714285714,0.75,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,0.8571428571428571,0.8571428571428571,1.0,0.8571428571428571,0.8571428571428571,1.0,LLM
cmv,BigScience,cmv-266,0.9850693565777913,0.9846913954628033,0.9368408305484068,0.5588235294117647,0.76,0.6785714285714286,0.40540540540540543,0.6,0.5555555555555556,0.0,0.0,0.0,0.7777777777777778,0.84,0.9130434782608695,0.4642857142857143,0.52,0.8125,LLM
cmv,BigScience,cmv-267,0.9467723076250941,0.9700180677434613,0.9095278812583762,0.038461538461538464,0.041666666666666664,0.3333333333333333,0.25,0.2916666666666667,0.6363636363636364,0.0,0.0,0.0,1.0,1.0,1.0,0.2413793103448276,0.2916666666666667,0.5833333333333334,LLM
